crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words
26,31/05/2018 13:30,31/05/2018,-1.052581811,37.0948756,1,1,0,0,1
27,31/05/2018 17:42,31/05/2018,-1.296766726,36.80730005,1,0,0,0,0
28,31/05/2018 19:33,31/05/2018,-1.260589935,36.71851586,1,0,0,0,0
29,31/05/2018 20:02,31/05/2018,-1.300361013,36.7736014,1,0,0,0,0
30,31/05/2018 20:14,31/05/2018,-1.249608011,36.68450837,1,0,0,0,0
31,31/05/2018 20:56,31/05/2018,-1.117207111,37.0082784,1,0,0,0,0
32,31/05/2018 21:16,31/05/2018,-1.38968051,36.935832,1,0,0,0,0
33,31/05/2018 21:43,31/05/2018,-1.130861211,36.9905376,1,0,0,0,0
34,31/05/2018 22:52,31/05/2018,-1.300113604,36.78050184,1,0,0,0,0
35,01/06/2018 00:14,01/06/2018,-1.279729251,36.81997408,1,0,0,0,0
36,01/06/2018 00:29,01/06/2018,-1.283915511,36.8275618,1,0,0,0,0
37,01/06/2018 06:50,01/06/2018,-1.36309156,36.76433255,1,0,0,0,0
38,01/06/2018 09:33,01/06/2018,-0.983374612,36.6323335,1,0,0,0,0
39,01/06/2018 11:59,01/06/2018,-1.261460703,36.71708619,1,0,0,0,0
40,01/06/2018 12:14,01/06/2018,-1.283915511,36.8275618,1,0,0,0,0
41,01/06/2018 16:13,01/06/2018,-1.28835047,36.81844115,1,0,1,0,0
42,01/06/2018 18:39,01/06/2018,-1.296095758,36.88536544,1,0,0,0,0
43,02/06/2018 07:46,02/06/2018,-1.266807546,36.8346389,1,0,0,1,0
44,02/06/2018 12:37,02/06/2018,-1.275086761,36.8236817,1,0,0,0,0
45,02/06/2018 16:45,02/06/2018,-1.32817001,36.882528,1,0,0,0,0
46,02/06/2018 18:26,02/06/2018,-1.228883211,36.693365,1,0,0,0,0
47,02/06/2018 21:20,02/06/2018,-1.282117111,36.81952158,1,0,0,0,0
48,03/06/2018 06:29,03/06/2018,-1.322131043,36.70748223,1,0,0,1,0
49,03/06/2018 14:13,03/06/2018,-1.288928011,36.835961,1,0,0,0,0
50,03/06/2018 18:14,03/06/2018,-1.269372133,36.80587236,1,0,0,0,0
51,03/06/2018 20:14,03/06/2018,-1.364663118,36.91164206,1,0,0,0,0
52,04/06/2018 01:54,04/06/2018,-1.37197971,36.658389,1,0,0,0,0
53,04/06/2018 05:45,04/06/2018,-1.39651701,36.746185,1,0,0,0,0
54,04/06/2018 06:54,04/06/2018,-1.294099733,36.79608554,1,0,0,0,1
55,04/06/2018 11:32,04/06/2018,-1.261277611,36.873955,1,0,0,1,0
56,04/06/2018 12:23,04/06/2018,-1.283012211,36.8274425,1,0,0,0,0
57,04/06/2018 14:29,04/06/2018,-1.277887194,36.78500676,1,0,0,0,0
58,04/06/2018 19:57,04/06/2018,-1.297659811,36.80442455,1,0,0,0,0
59,05/06/2018 07:36,05/06/2018,-1.325003309,36.84743528,1,0,0,0,0
60,05/06/2018 09:04,05/06/2018,-1.203744331,36.91752748,1,0,0,0,0
61,05/06/2018 11:22,05/06/2018,-1.206663011,36.894169,1,0,0,0,1
62,05/06/2018 15:26,05/06/2018,-1.325402196,36.84813016,1,0,0,0,0
63,05/06/2018 18:59,05/06/2018,-1.297014383,36.875658,1,0,0,0,0
64,05/06/2018 19:13,05/06/2018,-1.204746236,36.78662291,1,0,0,0,0
65,05/06/2018 20:23,05/06/2018,-1.245792556,36.77207372,1,0,0,0,0
66,05/06/2018 21:14,05/06/2018,-1.284117866,36.82432068,1,0,1,0,0
67,05/06/2018 23:10,05/06/2018,-1.179792421,36.93917676,1,1,0,0,0
68,06/06/2018 03:33,06/06/2018,-1.27133371,36.9971389,1,0,0,0,0
69,06/06/2018 06:20,06/06/2018,-1.278825578,36.8340014,1,0,1,1,0
70,06/06/2018 07:08,06/06/2018,-1.218636954,36.89136143,1,0,0,0,0
71,06/06/2018 09:17,06/06/2018,-1.310759011,36.7997843,1,0,0,1,0
72,06/06/2018 11:42,06/06/2018,-1.307905911,36.8193966,1,0,0,0,0
73,06/06/2018 21:13,06/06/2018,-1.39570413,36.94089234,1,0,0,0,0
74,06/06/2018 21:58,06/06/2018,-1.41123251,36.9524278,1,0,0,0,0
75,07/06/2018 02:31,07/06/2018,-1.267160011,36.8435928,1,0,0,0,0
76,07/06/2018 05:43,07/06/2018,-1.285286511,36.8840535,1,0,0,0,0
77,07/06/2018 05:55,07/06/2018,-1.203744331,36.91752748,1,0,0,0,0
78,07/06/2018 06:31,07/06/2018,-1.264411711,36.7206153,1,0,0,0,0
79,07/06/2018 06:50,07/06/2018,-1.277484061,36.82119115,1,0,0,0,0
80,07/06/2018 08:12,07/06/2018,-1.369381834,36.91706616,1,0,0,0,0
81,07/06/2018 08:49,07/06/2018,-1.299092807,36.80505625,1,0,0,0,0
82,07/06/2018 14:46,07/06/2018,-1.300013095,36.77431496,1,0,0,0,0
83,07/06/2018 14:47,07/06/2018,-1.31339421,36.8897375,1,0,0,0,0
84,07/06/2018 15:43,07/06/2018,-0.950058912,36.600688,1,0,0,0,0
85,07/06/2018 16:29,07/06/2018,-1.372555831,36.92049112,1,0,0,0,0
86,07/06/2018 21:28,07/06/2018,-1.136755059,36.97045739,1,0,0,0,0
87,08/06/2018 06:41,08/06/2018,-1.34289751,36.7662525,1,0,0,0,0
88,08/06/2018 07:28,08/06/2018,-1.033924711,37.0752096,1,0,0,1,0
89,08/06/2018 07:51,08/06/2018,-0.934129812,37.1435359,1,0,0,1,0
90,08/06/2018 08:00,08/06/2018,-1.300013461,36.78780269,1,0,0,0,0
91,08/06/2018 11:28,08/06/2018,-1.271173544,36.80726379,1,0,0,0,0
92,08/06/2018 15:30,08/06/2018,-1.491223837,37.05724895,1,0,0,0,0
93,09/06/2018 08:38,09/06/2018,-1.301987669,36.75327792,1,0,0,0,0
94,09/06/2018 09:04,09/06/2018,-1.298807733,36.78348969,1,0,0,0,0
95,09/06/2018 10:54,09/06/2018,-1.292439087,36.8053045,1,0,0,0,1
96,09/06/2018 19:59,09/06/2018,-1.279606711,36.8299148,1,0,0,0,0
97,09/06/2018 20:15,09/06/2018,-1.096068811,37.0141346,1,0,1,0,0
98,09/06/2018 20:36,09/06/2018,-1.323713011,36.9000985,1,0,0,0,0
99,10/06/2018 02:34,10/06/2018,-1.171190302,36.97258244,1,1,0,0,0
100,10/06/2018 12:21,10/06/2018,-1.299743227,36.78724202,1,0,1,0,0
101,10/06/2018 13:54,10/06/2018,-1.067962011,37.05124,1,0,0,1,0
102,10/06/2018 16:55,10/06/2018,-1.296923011,36.749861,1,0,0,0,0
103,10/06/2018 18:24,10/06/2018,-1.211500111,36.9076353,1,0,0,0,0
104,10/06/2018 18:57,10/06/2018,-1.218636954,36.89136143,1,0,0,0,0
105,10/06/2018 23:17,10/06/2018,-1.075213011,37.0464275,1,0,0,0,0
106,10/06/2018 23:30,10/06/2018,-1.256991511,36.9215485,1,0,0,0,0
107,11/06/2018 06:26,11/06/2018,-1.289059242,36.82853614,1,0,0,0,0
108,11/06/2018 09:05,11/06/2018,-1.297659811,36.80442455,1,0,0,0,0
109,11/06/2018 09:14,11/06/2018,-1.271148009,36.806449,1,1,0,0,0
110,11/06/2018 17:24,11/06/2018,-1.31422904,36.80747247,1,0,0,1,0
111,11/06/2018 18:48,11/06/2018,-1.282823211,36.8303447,1,0,0,0,0
112,11/06/2018 20:30,11/06/2018,-1.223074509,36.9118595,1,0,0,0,0
113,12/06/2018 07:20,12/06/2018,-1.259414511,36.802024,1,0,0,0,0
114,12/06/2018 07:37,12/06/2018,-1.259366931,36.84312276,1,0,0,0,0
115,12/06/2018 07:41,12/06/2018,-1.264891325,36.80207272,1,0,0,0,0
116,12/06/2018 08:06,12/06/2018,-1.299804628,36.82413583,1,0,0,0,0
117,12/06/2018 08:30,12/06/2018,-1.191377009,36.9158899,1,0,0,1,0
118,12/06/2018 14:38,12/06/2018,-1.297617842,36.87267477,1,0,0,0,1
119,12/06/2018 16:55,12/06/2018,-1.290993511,36.8280923,1,1,0,0,0
120,12/06/2018 17:02,12/06/2018,-1.311531809,36.7776414,1,0,0,0,0
121,12/06/2018 18:48,12/06/2018,-1.256475072,36.92589953,1,0,0,0,0
122,12/06/2018 19:24,12/06/2018,-1.291320011,36.822829,1,0,0,0,0
123,12/06/2018 20:43,12/06/2018,-1.181439011,36.938036,1,0,0,0,0
124,13/06/2018 06:06,13/06/2018,-1.299698643,36.80728914,1,0,0,0,0
125,13/06/2018 06:32,13/06/2018,-1.329936711,36.87100697,1,0,0,1,0
126,13/06/2018 06:36,13/06/2018,-1.196473011,36.924362,1,0,0,0,0
127,13/06/2018 06:40,13/06/2018,-1.293533602,36.80575485,1,0,0,0,0
128,13/06/2018 06:42,13/06/2018,-1.188858095,36.9313897,1,0,0,0,0
129,13/06/2018 06:42,13/06/2018,-1.203744329,36.91752748,1,0,0,0,0
130,13/06/2018 07:31,13/06/2018,-1.269743909,36.746467,1,0,0,0,0
131,13/06/2018 09:32,13/06/2018,-1.292662811,36.7906453,1,0,0,0,0
132,13/06/2018 10:38,13/06/2018,-1.037375656,37.07192393,1,1,0,0,0
133,13/06/2018 15:00,13/06/2018,-0.911370009,37.82129,1,0,0,0,0
134,13/06/2018 15:44,13/06/2018,-1.326289352,36.8501707,1,0,0,0,1
135,13/06/2018 17:11,13/06/2018,-1.130861209,36.9905376,1,0,0,0,0
136,13/06/2018 17:22,13/06/2018,-1.39006691,36.938887,1,0,0,0,0
137,13/06/2018 18:42,13/06/2018,-1.149244109,36.9620097,1,0,0,0,0
138,13/06/2018 19:43,13/06/2018,-1.269244696,36.8336091,1,0,0,0,0
139,13/06/2018 19:44,13/06/2018,-1.244373105,36.86641808,1,0,0,0,0
140,13/06/2018 20:17,13/06/2018,-1.310609939,36.81403659,1,0,0,0,0
141,14/06/2018 06:59,14/06/2018,-1.289446759,36.78541573,1,0,0,0,0
142,14/06/2018 07:17,14/06/2018,-1.328643512,36.78927516,1,0,0,0,0
143,14/06/2018 07:40,14/06/2018,-1.252217011,36.8593964,1,0,0,0,0
144,14/06/2018 08:05,14/06/2018,-1.282346044,36.8709669,1,0,0,0,0
145,14/06/2018 08:08,14/06/2018,-1.286815311,36.8268702,1,0,0,0,0
146,14/06/2018 08:55,14/06/2018,-1.294725811,36.8505311,1,1,0,0,0
147,14/06/2018 10:45,14/06/2018,-1.206928909,36.9171739,1,0,0,0,0
148,14/06/2018 11:08,14/06/2018,-1.289997711,36.8117373,1,0,0,0,1
149,14/06/2018 13:43,14/06/2018,-0.878661713,36.5665489,1,0,0,0,0
150,14/06/2018 14:47,14/06/2018,-1.219067198,36.89178521,1,0,0,0,0
151,14/06/2018 14:58,14/06/2018,-1.225723513,36.88494852,1,0,0,0,0
152,14/06/2018 16:19,14/06/2018,-2.079875106,37.4730188,1,0,0,0,0
153,14/06/2018 16:40,14/06/2018,-1.291036599,36.82345635,1,0,0,0,0
154,14/06/2018 17:50,14/06/2018,-1.248874411,36.8634619,1,0,0,0,0
155,14/06/2018 21:17,14/06/2018,-1.290931321,36.80815684,1,0,0,0,0
156,14/06/2018 21:21,14/06/2018,-1.218636952,36.89136143,1,0,0,0,1
157,15/06/2018 06:35,15/06/2018,-1.183532411,36.8956522,1,0,0,0,0
158,15/06/2018 08:41,15/06/2018,-1.232482209,36.9195449,1,0,0,0,1
159,15/06/2018 11:30,15/06/2018,-1.398937287,36.74203329,1,0,0,0,0
160,15/06/2018 13:28,15/06/2018,-1.452065673,36.97765852,1,0,0,0,0
161,15/06/2018 14:25,15/06/2018,-1.31261191,36.8928301,1,0,0,0,0
162,15/06/2018 17:08,15/06/2018,-1.117207109,37.0082784,1,0,0,0,0
163,15/06/2018 19:51,15/06/2018,-1.234354206,36.99012492,1,0,0,0,0
164,15/06/2018 23:40,15/06/2018,-1.267441435,36.8355184,1,0,0,0,0
165,16/06/2018 09:39,16/06/2018,-1.300020488,36.78062519,1,0,0,0,1
166,16/06/2018 10:00,16/06/2018,-1.376113198,36.74612545,1,0,0,0,0
167,16/06/2018 18:59,16/06/2018,-1.283733211,36.8311715,1,0,0,0,0
168,17/06/2018 00:04,17/06/2018,-1.252447209,36.8701423,1,0,0,0,0
169,17/06/2018 06:38,17/06/2018,-1.292576798,36.84339736,1,0,0,0,0
170,17/06/2018 09:05,17/06/2018,-1.289529508,36.949389,1,0,0,0,0
171,17/06/2018 09:25,17/06/2018,-1.39694171,36.7638188,1,0,0,0,0
172,17/06/2018 09:34,17/06/2018,-1.319632768,36.83798226,1,0,0,0,0
173,17/06/2018 11:34,17/06/2018,-0.95005891,36.600688,1,0,0,1,0
174,17/06/2018 16:31,17/06/2018,-1.269600011,36.8204,1,0,0,0,0
175,17/06/2018 23:27,17/06/2018,-1.296824373,36.87623231,1,0,0,0,1
176,18/06/2018 19:08,18/06/2018,-1.260873913,36.71673865,1,1,0,0,0
177,19/06/2018 06:56,19/06/2018,-1.259366929,36.84312276,1,0,0,0,0
178,19/06/2018 12:14,19/06/2018,-1.094353909,37.016378,1,0,0,0,0
179,19/06/2018 16:45,19/06/2018,-1.304416155,36.83903689,1,0,0,0,1
180,19/06/2018 17:26,19/06/2018,-1.203744329,36.91752748,1,0,0,0,0
181,19/06/2018 19:34,19/06/2018,-1.211500109,36.9076353,1,0,0,0,0
182,19/06/2018 19:35,19/06/2018,-1.172409576,36.94646064,1,0,0,0,0
183,19/06/2018 19:36,19/06/2018,-1.181392047,36.93798768,1,0,0,0,0
184,19/06/2018 20:10,19/06/2018,-1.32068951,36.8974029,1,0,1,0,0
185,20/06/2018 10:45,20/06/2018,-1.318732358,36.77084897,1,0,0,0,0
186,20/06/2018 15:46,20/06/2018,-1.283667211,36.8250603,1,0,0,0,0
187,20/06/2018 16:04,20/06/2018,-1.37255655,36.92247986,1,0,0,0,0
188,20/06/2018 19:21,20/06/2018,-1.282744711,36.7523206,1,0,0,1,0
189,20/06/2018 19:40,20/06/2018,-1.203744331,36.91752748,1,0,0,0,0
190,21/06/2018 06:14,21/06/2018,-1.298357777,36.88640147,1,0,0,0,0
191,21/06/2018 06:25,21/06/2018,-1.252217011,36.8593964,1,0,0,0,0
192,21/06/2018 07:18,21/06/2018,-1.284539511,36.8243171,1,0,0,0,0
193,21/06/2018 08:13,21/06/2018,-1.171200509,36.972576,1,0,0,0,0
194,21/06/2018 11:29,21/06/2018,-1.364508878,36.91129477,1,0,0,0,0
195,21/06/2018 16:47,21/06/2018,-1.532721107,37.4384451,1,0,0,0,0
196,22/06/2018 06:15,22/06/2018,-1.259366931,36.84312276,1,0,0,0,0
197,22/06/2018 06:15,22/06/2018,-1.334934617,36.89143569,1,0,0,0,0
198,22/06/2018 07:35,22/06/2018,-1.296192852,36.80708911,1,0,0,1,0
199,22/06/2018 07:39,22/06/2018,-1.283693011,36.8248697,1,0,0,0,0
200,22/06/2018 09:35,22/06/2018,-1.149237959,36.6670427,1,0,0,0,0
201,22/06/2018 10:43,22/06/2018,-1.331398154,36.88855476,1,0,0,0,0
202,22/06/2018 12:08,22/06/2018,-1.217393511,36.7782335,1,0,0,0,0
203,22/06/2018 12:52,22/06/2018,-1.041257311,37.07215355,1,0,0,0,0
204,23/06/2018 06:30,23/06/2018,-1.296967961,36.87565163,1,0,0,0,0
205,23/06/2018 20:25,23/06/2018,-1.011447772,37.1104336,1,0,0,0,0
206,24/06/2018 01:25,24/06/2018,-1.305744511,36.82693484,1,0,0,0,0
207,24/06/2018 13:20,24/06/2018,-1.233019091,36.87399931,1,0,0,0,0
208,24/06/2018 17:49,24/06/2018,-1.203744331,36.91752748,1,0,0,0,0
209,25/06/2018 06:46,25/06/2018,-1.36270001,37.39355,1,0,0,1,0
210,25/06/2018 07:17,25/06/2018,-1.299698641,36.80728913,1,0,0,0,0
211,25/06/2018 07:35,25/06/2018,-1.264086598,36.80163528,1,0,0,0,0
212,25/06/2018 07:56,25/06/2018,-1.328156509,36.870764,1,0,0,0,0
213,25/06/2018 10:32,25/06/2018,-1.286182811,36.8258339,1,1,0,0,0
214,25/06/2018 16:19,25/06/2018,-1.149237961,36.6670427,1,0,0,0,0
215,25/06/2018 18:52,25/06/2018,-1.31964681,36.8379736,1,0,0,0,0
216,25/06/2018 19:00,25/06/2018,-1.259975199,36.84341754,1,0,0,0,0
217,26/06/2018 06:44,26/06/2018,-1.217315611,36.852274,1,0,0,0,0
218,26/06/2018 10:59,26/06/2018,-1.279376559,36.81822638,1,0,0,0,0
219,27/06/2018 08:28,27/06/2018,-1.314388411,36.8181537,1,0,0,0,0
220,27/06/2018 08:40,27/06/2018,-1.330972911,36.7353772,1,0,0,0,0
221,27/06/2018 09:39,27/06/2018,-1.532605825,37.13240452,1,0,0,0,0
222,27/06/2018 13:14,27/06/2018,-1.238130833,36.84397138,1,0,0,0,0
223,27/06/2018 13:20,27/06/2018,-1.231003443,36.84225414,1,0,0,0,0
224,27/06/2018 13:20,27/06/2018,-1.294830711,36.7871865,1,0,0,0,0
225,27/06/2018 21:55,27/06/2018,-1.292880009,36.846,1,0,0,1,0
226,28/06/2018 16:57,28/06/2018,-1.259975199,36.84341754,1,0,0,0,0
227,28/06/2018 17:03,28/06/2018,-1.299698643,36.80728914,1,0,0,0,0
228,28/06/2018 17:30,28/06/2018,-0.934763712,37.1402197,1,0,0,0,0
229,28/06/2018 19:43,28/06/2018,-1.286479411,36.8213707,1,0,0,0,0
230,29/06/2018 07:07,29/06/2018,-1.20311435,36.83347508,1,0,0,0,0
231,29/06/2018 07:46,29/06/2018,-1.269932411,36.8075622,1,0,0,0,0
232,29/06/2018 08:16,29/06/2018,-1.298829175,36.76199634,1,0,0,0,0
233,29/06/2018 12:35,29/06/2018,-1.33213851,36.7818749,1,0,0,0,1
234,29/06/2018 16:56,29/06/2018,-1.001333764,36.74532643,1,0,0,0,0
235,29/06/2018 16:59,29/06/2018,-1.264083965,36.98273805,1,0,0,0,0
236,29/06/2018 18:05,29/06/2018,-1.269695109,36.8394148,1,0,0,0,0
237,29/06/2018 19:23,29/06/2018,-1.223550009,36.66322,1,0,0,0,0
238,29/06/2018 21:33,29/06/2018,-1.300013459,36.78780269,1,0,0,0,0
239,30/06/2018 06:56,30/06/2018,-1.281428011,36.822532,1,0,0,0,0
240,30/06/2018 10:03,30/06/2018,-1.042558133,37.0654664,1,0,0,0,0
241,30/06/2018 10:45,30/06/2018,-1.199444009,36.902004,1,0,0,0,0
242,30/06/2018 11:10,30/06/2018,-1.250925091,36.86572735,1,0,0,0,0
243,30/06/2018 14:37,30/06/2018,-1.264397609,36.7516369,1,0,0,0,0
244,30/06/2018 15:12,30/06/2018,-1.2190672,36.89178521,1,0,0,0,0
245,01/07/2018 07:18,01/07/2018,-1.259086961,36.77803207,1,0,0,0,0
246,01/07/2018 17:58,01/07/2018,-1.259085851,36.78575408,1,0,0,0,0
247,01/07/2018 19:02,01/07/2018,-1.188050774,36.93216815,1,0,0,0,0
248,01/07/2018 20:37,01/07/2018,-0.90835241,37.1980897,1,0,0,0,0
249,01/07/2018 23:56,01/07/2018,-1.32525649,36.84841473,1,0,0,0,0
250,02/07/2018 05:23,02/07/2018,-1.329936711,36.87100697,1,0,0,0,0
251,02/07/2018 06:59,02/07/2018,-1.266623711,36.7464754,1,0,0,1,0
252,02/07/2018 07:09,02/07/2018,-1.476534798,37.03675647,1,1,0,0,0
253,02/07/2018 07:15,02/07/2018,-1.231808209,36.8877656,1,1,0,0,1
254,02/07/2018 07:52,02/07/2018,-1.322849897,36.84773842,1,0,0,0,0
255,02/07/2018 13:41,02/07/2018,-1.232598509,36.8737495,1,0,0,0,0
256,03/07/2018 02:00,03/07/2018,-1.210684709,36.8871615,1,1,0,0,0
257,03/07/2018 06:25,03/07/2018,-1.34296797,36.76655572,1,0,0,1,0
258,03/07/2018 10:49,03/07/2018,-0.676255013,37.1921754,1,0,0,0,0
259,03/07/2018 12:56,03/07/2018,-1.276001009,36.9128448,1,0,0,0,0
260,03/07/2018 15:45,03/07/2018,-1.252540111,36.9023949,1,1,0,0,0
261,03/07/2018 16:18,03/07/2018,-1.171200511,36.972576,1,0,0,0,1
262,04/07/2018 06:15,04/07/2018,-1.323713011,36.9000985,1,0,0,0,0
263,04/07/2018 06:39,04/07/2018,-2.016460105,37.3775152,1,0,0,0,0
264,04/07/2018 07:27,04/07/2018,-1.286987311,36.7424011,1,0,0,0,0
265,04/07/2018 07:39,04/07/2018,-1.32835161,36.8744614,1,0,0,0,0
266,04/07/2018 08:09,04/07/2018,-1.32417101,36.844591,1,0,0,0,0
267,04/07/2018 09:26,04/07/2018,-1.149237959,36.6670427,1,0,0,0,0
268,04/07/2018 09:40,04/07/2018,-1.488420521,37.05421502,1,1,0,0,0
269,04/07/2018 16:49,04/07/2018,-1.203744329,36.91752748,1,0,0,0,0
270,04/07/2018 16:53,04/07/2018,-2.079875106,37.4730188,1,0,0,0,0
271,05/07/2018 05:56,05/07/2018,-1.329936709,36.87100697,1,0,0,0,0
272,05/07/2018 06:18,05/07/2018,-1.330979019,36.85984337,1,0,0,0,0
273,05/07/2018 10:03,05/07/2018,-1.165142855,36.95856743,1,0,0,0,0
274,05/07/2018 17:06,05/07/2018,-1.215499091,36.83515033,1,0,0,0,0
275,05/07/2018 17:35,05/07/2018,-1.32703951,36.84570152,1,0,0,0,0
276,05/07/2018 17:39,05/07/2018,-1.338660009,36.73803,1,0,0,0,0
277,05/07/2018 18:22,05/07/2018,-1.260332711,36.8657613,1,0,0,0,0
278,05/07/2018 18:25,05/07/2018,-1.328244958,36.8937696,1,0,0,0,0
279,06/07/2018 06:35,06/07/2018,-1.263957111,36.75421266,1,0,0,1,0
280,06/07/2018 07:43,06/07/2018,-1.261673493,36.80330956,1,0,0,0,0
281,06/07/2018 07:43,06/07/2018,-1.280878811,36.8243775,1,0,0,0,0
282,06/07/2018 07:44,06/07/2018,-1.096068811,37.0141346,1,0,1,0,0
283,06/07/2018 08:21,06/07/2018,-1.240262293,36.7900585,1,0,0,0,0
284,06/07/2018 08:54,06/07/2018,-1.259366931,36.84312276,1,0,0,0,0
285,06/07/2018 09:02,06/07/2018,-1.288350468,36.81844115,1,0,0,0,0
286,06/07/2018 10:23,06/07/2018,-1.215220811,36.9036606,1,0,0,0,0
287,06/07/2018 11:09,06/07/2018,-1.312265311,36.8170885,1,0,0,0,0
288,06/07/2018 11:25,06/07/2018,-1.294638011,36.797727,1,0,0,0,0
289,06/07/2018 14:17,06/07/2018,-1.096068809,37.0141346,1,0,1,0,0
290,06/07/2018 16:09,06/07/2018,-1.274752111,36.821589,1,0,0,0,0
291,06/07/2018 16:43,06/07/2018,-1.300663811,36.8341528,1,0,0,0,0
292,06/07/2018 18:42,06/07/2018,-1.067899286,37.05113555,1,1,0,0,0
293,07/07/2018 16:11,07/07/2018,-1.395628374,36.94102487,1,0,0,0,0
294,07/07/2018 17:40,07/07/2018,-1.248881042,36.86346858,1,0,1,0,0
295,07/07/2018 17:53,07/07/2018,-1.119072512,36.618408,1,0,0,0,0
296,08/07/2018 02:37,08/07/2018,-1.395704128,36.94089234,1,0,0,0,0
297,08/07/2018 03:01,08/07/2018,-1.290993511,36.8280923,1,0,0,0,0
298,08/07/2018 07:27,08/07/2018,-1.379341985,36.9279107,1,0,0,0,0
299,08/07/2018 08:19,08/07/2018,-1.39570413,36.94089234,1,1,0,0,0
300,08/07/2018 09:43,08/07/2018,-1.316695995,36.81350017,1,0,0,0,0
301,08/07/2018 11:59,08/07/2018,-1.344388688,36.90263225,1,0,0,0,0
302,08/07/2018 17:29,08/07/2018,-2.079875106,37.4730188,1,0,0,0,0
303,08/07/2018 19:00,08/07/2018,-1.211500111,36.9076353,1,0,0,0,0
304,08/07/2018 19:34,08/07/2018,-1.287139511,36.8272296,1,0,0,1,0
305,08/07/2018 19:59,08/07/2018,-1.110708312,36.631937,1,0,0,0,0
306,08/07/2018 20:28,08/07/2018,-1.225756111,36.8849726,1,0,0,0,0
307,08/07/2018 21:13,08/07/2018,-1.260120011,36.81825,1,0,0,0,0
308,09/07/2018 08:42,09/07/2018,-1.286702011,36.7405768,1,0,0,0,0
309,09/07/2018 11:23,09/07/2018,-0.904263912,36.9934344,1,0,0,0,0
310,09/07/2018 11:56,09/07/2018,-0.662938763,37.20873,1,1,0,0,1
311,09/07/2018 12:32,09/07/2018,-2.079875106,37.4730188,1,0,0,0,0
312,09/07/2018 14:45,09/07/2018,-1.345343599,36.9024957,1,0,0,0,0
313,09/07/2018 17:27,09/07/2018,-1.118302969,37.00970391,1,0,0,0,0
314,09/07/2018 17:55,09/07/2018,-1.244792616,36.86769895,1,0,0,0,0
315,09/07/2018 18:18,09/07/2018,-1.263937134,36.75780979,1,0,0,0,0
316,09/07/2018 19:09,09/07/2018,-1.219603289,36.89163723,1,0,0,1,1
317,09/07/2018 22:10,09/07/2018,-1.285692111,36.8346959,1,1,0,0,0
318,10/07/2018 07:56,10/07/2018,-1.258114765,36.70166772,1,0,0,0,0
319,10/07/2018 08:16,10/07/2018,-1.283667211,36.8250603,1,0,0,0,0
320,10/07/2018 09:08,10/07/2018,-1.260589935,36.71851586,1,0,0,0,0
321,10/07/2018 09:27,10/07/2018,-1.290633211,36.7871327,1,0,0,0,0
322,10/07/2018 15:09,10/07/2018,-1.300013461,36.78780269,1,1,0,0,1
323,10/07/2018 17:28,10/07/2018,-1.183528111,36.9023117,1,0,0,0,1
